date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2017-04-20,38.7445,24.19032,19.55217,32.78688,7.9968
2017-04-21,37.58496,21.79128,18.31267,29.10835,8.87644
2017-04-22,33.86645,22.59096,18.75249,29.34826,7.71691
2017-04-23,38.50459,22.39104,19.75209,29.94802,9.07636
2017-04-24,38.50459,20.67173,16.83326,31.50739,9.11635
2017-04-25,36.94522,21.07157,18.75249,30.50779,8.91643
2017-04-26,38.42463,19.63214,15.71371,29.30827,9.59616
2017-04-27,35.9856,22.31107,18.2327,28.10875,10.31587
2017-04-28,33.34666,20.2319,14.55417,25.14994,9.15633
2017-04-29,35.2259,19.75209,16.15353,25.82966,8.87644
2017-04-30,31.02758,21.9912,16.59336,26.70931,10.2359
2017-05-01,34.14634,19.83206,14.51419,25.54978,9.2363
2017-05-02,37.10515,19.55217,14.79408,24.2303,11.19552
2017-05-03,32.2271,19.43222,15.91363,24.55017,11.31547
2017-05-04,31.90723,19.71211,14.67413,23.63054,11.59536
2017-05-05,29.94802,17.07317,13.51459,22.91083,8.87644
2017-05-06,32.90683,18.39264,15.63374,25.86965,8.75649
2017-05-07,32.94682,18.51259,15.15393,25.06997,8.87644
2017-05-08,31.70731,18.83246,13.9944,24.79008,9.19632
2017-05-09,34.66613,19.992,16.31347,27.58896,8.27668
2017-05-10,33.26669,17.67293,13.75449,24.91003,7.67692
2017-05-11,36.26549,19.79208,14.07437,25.58976,9.11635
2017-05-12,34.82606,18.07277,14.35425,25.9896,7.55697
2017-05-13,31.42742,18.19272,15.11395,25.90963,8.39664
2017-05-14,36.06557,20.67173,17.07317,29.02838,9.4762
2017-05-15,36.70531,22.35105,12.79488,26.46941,10.71571
2017-05-16,40.90363,19.03238,14.11435,28.30867,10.31587
2017-05-17,38.90443,21.15153,16.03358,28.14874,11.63534
2017-05-18,39.90403,20.95161,14.79408,26.42942,13.79448
2017-05-19,36.86525,20.35185,14.47421,24.47021,14.31427
2017-05-20,35.42582,18.39264,14.43422,23.9904,11.51539
2017-05-21,34.14634,21.11155,15.87365,43.9824,11.35545
2017-05-22,41.26349,20.75169,13.39464,30.58776,14.59416
2017-05-23,40.62375,19.75209,13.75449,29.7481,12.83486
2017-05-24,42.70291,21.87125,20.83166,30.54778,13.11475
2017-05-25,40.42383,21.31147,15.51379,27.94882,12.07516
2017-05-26,35.42582,21.19152,15.51379,24.67013,10.87564
2017-05-27,33.70651,20.15193,17.43302,33.94642,10.67572
2017-05-28,35.86565,21.19152,15.91363,37.06517,10.71571
